,average_score_wikipedia,average_score_matched,percent_matched,average_score_unmatched,numb_matched,numb_unmatched,counts
actress,5.75739247311828,6.990485252140818,0.7063172043010753,2.791762013729977,1051,437,"{'actress': 0, 'actor': 9}"
actor,3.3565714285714288,2.53125,0.036571428571428574,3.3879003558718863,32,843,"{'actress': 247, 'actor': 0}"
hostess,4.103004291845494,6.057142857142857,0.15021459227467812,3.757575757575758,35,198,"{'hostess': 0, 'host': 0}"
host,4.038095238095238,5.903614457831325,0.1580952380952381,3.6877828054298645,83,442,"{'hostess': 0, 'host': 0}"
comedienne,7.62962962962963,5.6,0.09259259259259259,7.836734693877551,5,49,"{'comedienne': 0, 'comedian': 21}"
comedian,4.877551020408164,5.543478260869565,0.6258503401360545,3.7636363636363637,92,55,"{'comedienne': 0, 'comedian': 0}"
barmaid,2.0,,0.0,2.0,0,3,"{'barmaid': 0, 'barkeeper': 0, 'bartender': 0, 'barman': 0}"
bartender,1.3333333333333333,1.0,0.3333333333333333,1.5,1,2,"{'barmaid': 0, 'barkeeper': 0, 'bartender': 0, 'barman': 0}"
landlady,5.571428571428571,5.0,0.42857142857142855,6.0,3,4,"{'landlady': 0, 'landlord': 0}"
landlord,2.4285714285714284,1.0,0.07142857142857142,2.5384615384615383,1,13,"{'landlady': 0, 'landlord': 0}"
policewoman,3.0,,0.0,3.0,0,16,"{'policewoman': 0, 'policeman': 0, 'police officer': 3}"
policeman,1.5,,0.0,1.5,0,2,"{'policewoman': 0, 'policeman': 0, 'police officer': 0}"
police officer,2.0660377358490565,1.2857142857142858,0.2641509433962264,2.3461538461538463,28,78,"{'policewoman': 0, 'policeman': 0, 'police officer': 0}"
businesswoman,4.182170542635659,6.048543689320389,0.3992248062015504,2.9419354838709677,103,155,"{'businesswoman': 0, 'businessperson': 0, 'businessman': 0}"
businessperson,2.0742857142857143,3.0,0.005714285714285714,2.0689655172413794,1,174,"{'businesswoman': 52, 'businessperson': 0, 'businessman': 0}"
businessman,1.6666666666666667,1.0,0.027777777777777776,1.6857142857142857,1,35,"{'businesswoman': 4, 'businessperson': 0, 'businessman': 0}"
saleswoman,2.3333333333333335,,0.0,2.3333333333333335,0,3,"{'saleswoman': 0, 'salesperson': 0, 'salesman': 0}"
salesperson,2.5,,0.0,2.5,0,2,"{'saleswoman': 0, 'salesperson': 0, 'salesman': 0}"
salesman,4.0,,0.0,4.0,0,1,"{'saleswoman': 0, 'salesperson': 0, 'salesman': 0}"
mail carrier,5.0,,0.0,5.0,0,1,"{'mailwoman': 0, 'mail carrier': 0, 'postal worker': 0, 'mailman': 0}"
crew member,3.0,,0.0,3.0,0,3,"{'crewwoman': 0, 'crew member': 0, 'crewman': 0}"
waitress,4.833333333333333,2.5,0.3333333333333333,6.0,2,4,"{'waitress': 0, 'server': 0, 'waiter': 0}"
waiter,1.0,,0.0,1.0,0,1,"{'waitress': 0, 'server': 0, 'waiter': 0}"
stewardess,5.25,17.0,0.25,1.3333333333333333,1,3,"{'stewardess': 0, 'flight attendant': 0, 'steward': 0}"
steward,4.0,2.8333333333333335,0.375,4.7,6,10,"{'stewardess': 0, 'flight attendant': 0, 'steward': 0}"
priest,1.0,,0.0,1.0,0,2,"{'clergywoman': 0, 'priest': 0, 'clergyman': 0}"
clergyman,2.25,,0.0,2.25,0,4,"{'clergywoman': 0, 'priest': 0, 'clergyman': 0}"
firefighter,1.4444444444444444,2.0,0.2222222222222222,1.2857142857142858,2,7,"{'firewoman': 0, 'firefighter': 0, 'fireman': 0}"
server,3.5789473684210527,,0.0,3.5789473684210527,0,19,"{'waitress': 0, 'server': 0, 'waiter': 0}"
seamstress,2.925,6.0,0.2,2.15625,8,32,"{'seamstress': 0, 'sewist': 0}"
flight attendant,5.909090909090909,11.916666666666666,0.36363636363636365,2.4761904761904763,12,21,"{'stewardess': 0, 'flight attendant': 0, 'steward': 0}"
headmistress,1.2765957446808511,1.375,0.1702127659574468,1.2564102564102564,8,39,"{'headmistress': 0, 'headteacher': 1, 'headmaster': 0}"
headteacher,1.4285714285714286,,0.0,1.4285714285714286,0,7,"{'headmistress': 1, 'headteacher': 0, 'headmaster': 0}"
headmaster,3.0,,0.0,3.0,0,1,"{'headmistress': 0, 'headteacher': 0, 'headmaster': 0}"
weathergirl,1.0,,0.0,1.0,0,1,"{'weathergirl': 0, 'meteorologist': 0, 'weather forecaster': 0, 'weatherman': 0}"
meteorologist,2.4225352112676055,2.875,0.5633802816901409,1.8387096774193548,40,31,"{'weathergirl': 0, 'meteorologist': 0, 'weather forecaster': 1, 'weatherman': 0}"
weather forecaster,1.2142857142857142,1.0,0.07142857142857142,1.2307692307692308,1,13,"{'weathergirl': 0, 'meteorologist': 2, 'weather forecaster': 0, 'weatherman': 0}"
anchorwoman,2.923076923076923,,0.0,2.923076923076923,0,26,"{'anchorwoman': 0, 'news anchor': 2, 'anchorman': 0}"
news anchor,2.1125827814569536,2.3482142857142856,0.3708609271523179,1.9736842105263157,112,190,"{'anchorwoman': 0, 'news anchor': 0, 'anchorman': 0}"
camerawoman,1.3333333333333333,,0.0,1.3333333333333333,0,3,"{'camerawoman': 0, 'camera operator': 0, 'cameraman': 0}"
camera operator,3.5,,0.0,3.5,0,4,"{'camerawoman': 0, 'camera operator': 0, 'cameraman': 0}"
cameraman,2.3333333333333335,,0.0,2.3333333333333335,0,3,"{'camerawoman': 0, 'camera operator': 0, 'cameraman': 0}"
chairwoman,3.9047619047619047,4.571428571428571,0.05555555555555555,3.865546218487395,7,119,"{'chairwoman': 0, 'chairperson': 0, 'chairman': 5}"
chairperson,3.64021164021164,,0.0,3.64021164021164,0,189,"{'chairwoman': 3, 'chairperson': 0, 'chairman': 6}"
chairman,2.3284671532846715,3.7222222222222223,0.13138686131386862,2.1176470588235294,36,238,"{'chairwoman': 5, 'chairperson': 0, 'chairman': 0}"
stuntwoman,4.2075471698113205,5.25,0.1509433962264151,4.022222222222222,8,45,"{'stuntwoman': 0, 'stuntperson': 0, 'stuntman': 0}"
stuntman,1.0,,0.0,1.0,0,3,"{'stuntwoman': 0, 'stuntperson': 0, 'stuntman': 0}"
