wikidata_code,response
Q80966,"Cate Blanchett is an acclaimed Australian actress known for her versatility and powerful performances across a wide range of roles. Born on May 14, 1969, in Melbourne, Australia, she has won numerous awards and accolades"
Q133050,"Susan Sarandon is an American actress known for her extensive and acclaimed work in film, television, and theater. Born on October 4, 1946, in New York City, she has had a prolific career spanning over five decades"
Q49001,"Whoopi Goldberg is an American actress, comedian, author, and television personality. Born Caryn Elaine Johnson on November 13, 1949, she is known for her versatile talents and has made significant contributions to the entertainment industry."
Q349391,"Helen Mirren is a highly acclaimed British actress known for her extensive work in film, television, and theater. Born on July 26, 1945, in London, England, she has had a distinguished career spanning over five"
Q280098,"Geena Davis is an American actress, producer, and advocate for gender equality. She is known for her work in both film and television. Here are a few key points about her:

1. **Acting Career**: Davis began her acting career in"
Q233466,"Elisabeth Moss is an American actress known for her work in film, television, and theater. She was born on July 24, 1982, in Los Angeles, California. Moss is particularly recognized for her roles in several"
Q232307,"Mae Whitman is an American actress known for her work in television and film. Here are a few key points about her:

1. **Early Career**: Mae began her acting career at a young age, appearing in commercials and television shows. She"
Q237251,"Anne Hathaway is often referred to as the wife of William Shakespeare, the renowned English playwright and poet. Here are some key points about her:

1. **Marriage**: Anne Hathaway and William Shakespeare were married in 158"
Q137808,"Oona O'Neill was an American actress and the daughter of the renowned playwright Eugene O'Neill. She was born on May 14, 1925, and passed away on September 27, 1991. O"
Q222651,"Jelena Jensen is a retired American pornographic actress and model. She was born on September 15, 1986, in Los Angeles, California. Jensen began her career in the adult entertainment industry in 2005"
Q235845,"Marcheline Bertrand was an American actress and philanthropist. She is best known for being the mother of actress Angelina Jolie. Here are a few key points about her:

1. **Early Life and Career**: Marcheline Bertrand was born on"
Q254462,"Nicoletta Braschi is an Italian actress and producer. She is best known for her collaborations with her husband, the renowned Italian filmmaker Roberto Benigni. Braschi has appeared in several of Benigni's films, including:

1. **"""
Q466946,"Tina Modotti (born Assunta Adelaide Luigia Modotti; August 17, 1896 – January 5, 1942) was an Italian photographer, model, actress, and revolutionary political activist."
Q273107,"Nicole Sullivan is a well-known figure in the field of web performance and front-end engineering. She is particularly recognized for her work on CSS and JavaScript performance optimization. Here are a few key points about her:

1. **CSS Performance**: Nicole"
Q15291033,"FKA twigs, whose real name is Tahliah Barnett, is a British singer, songwriter, and record producer. She is known for her unique and innovative approach to music, which often blends elements of electronic, R&B, and experimental genres"
Q271865,"As of my last update in October 2023, there isn't a widely recognized actress named Terry Moore. It's possible that you might be referring to someone else or that there has been a recent development in the entertainment industry that I am"
Q269037,"Movita Castaneda was an American actress known for her roles in several films during the 1930s and 1940s. She was born on April 12, 1916, in Santa Barbara"
Q238012,"Carol Cleveland is a British actress known for her work with the comedy troupe Monty Python. She is often referred to as the ""Fifth Python"" because she appeared in many of their sketches and films, although she was not an official member of"
Q3119814,"Tamsin Greig is a British actress known for her work in television, film, and theater. She was born on July 12, 1967, in Maidenhead, Berkshire, England. Greig is particularly recognized"
Q153658,"As of my last update in October 2023, there isn't a widely recognized public figure named Hannah Chaplin. It's possible that she could be a private individual, a lesser-known figure in a specific field, or someone who has gained"
Q242252,"As of my last update in October 2023, there isn't a widely recognized actress named ""Gauge."" It's possible that she might be an emerging talent or someone who has gained prominence more recently. If you have more specific details"
Q4675901,"Katie Findlay is a Canadian actress known for her roles in several television series. She was born on August 29, 1990, in Windsor, Ontario, Canada. Some of her notable works include:

1. **""The"
Q1130195,"Linda Lee Cadwell is best known for being the widow of Bruce Lee, the legendary martial artist, actor, and philosopher. Here are a few key points about her:

1. **Marriage to Bruce Lee**: Linda Lee Cadwell was married"
Q268271,"As of my last update in October 2023, there isn't a widely recognized English actress named Vanessa Angel. It's possible that she might be a lesser-known actress, or her name could be spelled differently, or she might have gained"
Q373424,"As of my last update in October 2023, there isn't widely recognized public information about a person named Saadet Aksoy. It's possible that Saadet Aksoy could be a private individual, a local figure, or"
Q447727,"As of my last update in October 2023, there is no widely recognized public figure named Florence Lee who was born in 1888. It's possible that she could be a private individual, or her name might be associated"
Q450796,"Robin Morgan is a prominent American feminist writer, activist, and political theorist. She is known for her significant contributions to the feminist movement and her work in various forms of media, including literature, journalism, and film. Here are a few key points"
Q3021150,"As of my last update in October 2023, there isn't a widely recognized public figure named Deepa Sahi. It's possible that she could be a private individual, a local figure, or someone who has gained prominence after my"
Q268018,"Nicole Brown Simpson was an American waitress and model. She is best known for being the ex-wife of former NFL player and actor O.J. Simpson. Nicole Brown Simpson was born on May 19, 1959,"
Q454874,"As of my last update in October 2023, Alexandra Krosney is an American actress known for her roles in various television series. She is perhaps best recognized for her role as Jessica in the television series ""Melissa & Joey,"""
Q440348,"Christa Théret is a French actress known for her work in film and television. She was born on August 25, 1991, in Paris, France. Théret began her acting career at a young age and has since"
Q436789,"Diana Douglas was an American actress known for her work in film and television. Here are some key points about her:

1. **Early Life and Career**: Born Diana Mary Dill on January 21, 1923, in"
Q266215,"Bertrada of Prüm, also known as Bertrada the Younger, was a significant figure in medieval European history. She was the daughter of Count Milo of Trier and Bertrada of Laon. Bertrada of Prüm is best known for her"
Q262543,"Judith Rich Harris is an American psychologist known for her influential work on child development and the role of peers in shaping personality. She is particularly famous for her book ""The Nurture Assumption: Why Children Turn Out the Way They Do,"" published"
Q5711332,"Aubrey Peebles is an American actress and model. She is best known for her role as Bay Kennish on the ABC Family (now Freeform) television series ""The Fosters."" The show, which aired from 201"
Q598304,"As of my last update in October 2023, there isn't widely recognized public information about an individual named Antonia Campbell-Hughes. It's possible that she is a private individual, or her public profile may not be extensive. If"
Q124287,"Aglaja Veteranyi (1962-2002) was a Swiss writer known for her poignant and autobiographical works. Born in Romania to a Romanian mother and a Hungarian father, she spent her early years in a circ"
Q433368,"Mary Crosby is an American actress known for her role as Kristen Shepard on the popular soap opera ""Days of Our Lives."" She was born on September 14, 1959, in Los Angeles, California. Mary Crosby is the daughter"
Q268413,"As of my last update in October 2023, there isn't a widely recognized public figure named Louise Rasmussen. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in a specific"
Q759716,"Tanya Tagaq is a renowned Canadian Inuk throat singer, writer, and visual artist. She is known for her powerful and innovative approach to traditional Inuit throat singing, often incorporating elements of experimental music, jazz, and electronica into her"
Q436982,"Jeane Manson is a French-American actress and singer. She is best known for her role as Princess Oola in the 1983 film ""Return of the Jedi,"" the third installment in the original ""Star Wars"" trilogy. Despite"
Q2077445,"Nancy Kulp was an American actress best known for her role as Jane Hathaway, the prim and proper secretary to the wealthy banker Mr. Dryden, in the television sitcom ""The Beverly Hillbillies,"" which aired from 1"
Q447533,"As of my last update in October 2023, there isn't widely recognized public information about a person named Tami Stronach. It's possible that she might be a private individual, or her public profile might not be extensive."
Q462937,"As of my last update in October 2023, there isn't a widely recognized public figure named Shera Danese. It's possible that she might be a private individual, someone who has gained prominence more recently, or someone known in"
Q1137411,"Sybil Seely was an American actress who was active in the silent film era. She is best known for her role in the 1923 film ""The Ten Commandments,"" directed by Cecil B. DeMille. In this"
Q508628,"Tarita Teriipaia is a French Polynesian actress and model. She is best known for her role as the love interest of Marlon Brando's character, Emile de Becque, in the classic 1953 film ""Mut"
Q1132724,"Marie Bell, born Marie-Jeanne Bellée, was a renowned French actress. She was born on December 23, 1900, in Bordeaux, France, and passed away on August 6, 1985"
Q292361,"Dolores Hope is best known as the wife of the legendary comedian and actor Bob Hope. Here are a few key points about her:

1. **Full Name**: Dolores DeFina.
2. **Birth and Death**: She was born on"
Q4673430,Achala Sachdev (1920-2012) was an Indian actress known for her work in Hindi and Punjabi films. She had a prolific career spanning over six decades and was particularly renowned for her roles in classic Hindi films
Q89342,"As of my last update in October 2023, there isn't widely recognized or publicly documented information about a person named Constanze Engelbrecht. It's possible that she is a private individual, or her notable achievements or public presence may"
